iter	MultiClass
0	1.37205619111	1.357793247
2	1.344366769
3	1.332783804
4	1.31968025
55	1.305113386	1.295375791
7	7	1.279897538	8	1.267387819	9	1.2554128910	1.247844187
11	1.236702692
12	1.2258388613	1.208746112
14	1.197776868
15	1.187113195
16	1.17615765
17	1.165894829
18	1.155157662
19	1.144950348
20	1.134968009
21	1.124810918
22	1.114770124
23	1.10517979
24	1.095516644
25	1.085981706
26	1.076694571
27	1.06735437
28	1.05820057
29	1.049173099
30	1.040304204
31	1.031326667
32	1.022811035
33	1.01424216
34	1.005828517
35	0.9976331917
36	0.9897120963
37	0.9815848381
38	0.9736316848
39	0.9658047046
40	0.958336337
41	0.9508381258
42	0.9431489896
43	0.9357070994
44	0.9282650036
45	0.920761157
46	0.9137535121
47	0.9065630258
48	0.8995330831
49	0.8925703627
50	0.885665525
51	0.8787915605
52	0.8721650335
53	0.8655730166
54	0.8590733133
55	0.852478416
56	0.846092261
57	0.8396337412
58	0.8332489925
59	0.8269711916
60	0.8210072627
61	0.814876268
62	0.80882404
63	0.8029620108
64	0.7969987733
65	0.7911088052
66	0.785456034
67	0.7797771177
68	0.7741546226
69	0.7686477662
70	0.7632987256
71	0.7578732191
72	0.7524164043
73	0.7470736598
74	0.7417958363
75	0.7367033692
76	0.7316191952
77	0.726500747
78	0.7213368031
79	0.7163186314
80	0.7114239777
81	0.7063901668
82	0.7014916844
83	0.6966263876
84	0.691808336
85	0.6870238044
86	0.6822333951
87	0.677637037
88	0.6729088004
89	0.6684677318
90	0.6640374934
91	0.6594757126
92	0.6550640719
93	0.6505638371
94	0.6463068831
95	0.6419868368
96	0.6376252617
97	0.6334378345
98	0.6291697182
99	0.6249151449
100	0.6207365934
101	0.6169078915
102	0.6128314975
103	0.6088665415
104	0.6048424981
105	0.6007956603
106	0.5968013661
107	0.5929013263
108	0.5890233227
109	0.5852627758
110	0.5813879509
111	0.5775771184
112	0.5738536631
113	0.5701939066
114	0.5666076608
115	0.5630239605
116	0.5594764998
117	0.5558427914
118	0.5523124665
119	0.5488315599
120	0.5453353003
121	0.541898561
122	0.5384409015
123	0.5349576257
124	0.5316123174
125	0.5282341309
126	0.5248990883
127	0.5217113369
128	0.5185106547
129	0.515272581
130	0.5120594281
131	0.5089228367
132	0.5057892363
133	0.5027310458
134	0.4996664667
135	0.4965972487
136	0.4935657882
137	0.4905653587
138	0.4875412559
139	0.4844894025
140	0.4814943079
141	0.47860426
142	0.475700576
143	0.472820075
144	0.4699281698
145	0.4670383622
146	0.464159591
147	0.4613501993
148	0.458515587
149	0.4558877015
150	0.4531447169
151	0.4503911486
152	0.447702117
153	0.4449893782
154	0.4422880711
155	0.4396054485
156	0.4370112246
157	0.4344859116
158	0.4318515424
159	0.4292670308
160	0.4267382411
161	0.4241495166
162	0.4216260804
163	0.4190833152
164	0.4166117881
165	0.4142407499
166	0.4117924014
167	0.4093519426
168	0.4069130309
169	0.4045483986
170	0.4022774129
171	0.3998779591
172	0.172	0.40985173	0.173	0.40754174	0.174	0.4052110452
175	0.4028819794
176	0.4005212436
177	0.3982118778
178	0.3959342635
179	0.3936408757
180	0.3915082165
181	0.389294008
182	0.3870015347
183	0.3848202656
184	0.3826729908
185	0.3806234146
186	0.3785084471
187	0.3764333292
188	0.374254625
189	0.3721444857
190	0.3700549125
191	0.3679150161
192	0.3657720211
193	0.3637835331
194	0.3617826239
195	0.3597927758
196	0.3577909678
197	0.3557936752
198	0.3538013256
199	0.3518912765
200	0.349962783
201	0.3481372956
202	0.346302623
203	0.344379689
204	0.3425859874
205	0.3406813105
206	0.338800724
207	0.3369550172
208	0.3351102799
209	0.3332982233
210	0.3314410849
211	0.3296225303
212	0.3278371271
213	0.3260500027
214	0.3242592556
215	0.3225000607
216	0.3207060815
217	0.3189497078
218	0.3172483175
219	0.3156007113
220	0.313924058
221	0.3122340433
222	0.3105554035
223	0.308887174
224	0.307264196
225	0.3055796523
226	0.3039419487
227	0.3023436547
228	0.3007203103
229	0.299130319
230	0.2974958988
231	0.2959199417
232	0.2943919499
233	0.2927924564
234	0.2911958779
235	0.289649236	0236	0.288090237	0.275196598
238	0.2736899026
239	0.2721745427
240	0.2707320371
241	0.2692550442
